21:12:23.099 INFO  - User John Wick added operation: Income{id = 1; account id = 2; amount = 1000; creation time = 2020-09-07T21:12:23.016073; income categories = {Salary,Gifts}
21:12:27.298 INFO  - User Ann White added operation: Expense{id = 15; account id = 4; amount = -100; creation time = 2020-09-07T21:12:27.289845; expense categories = {Food}
21:12:27.309 INFO  - User Ann White added operation: Income{id = 16; account id = 3; amount = 200; creation time = 2020-09-07T21:12:27.301163; income categories = {Salary}
21:12:27.320 INFO  - User John Wick added operation: Income{id = 17; account id = 2; amount = 900; creation time = 2020-09-07T21:12:27.312448; income categories = {Gifts}
21:12:27.335 INFO  - User John Wick added operation: Income{id = 18; account id = 1; amount = 500; creation time = 2020-09-07T21:12:27.326726; income categories = {Salary}
21:15:39.393 INFO  - User John Wick added operation: Income{id = 1; account id = 2; amount = 1000; creation time = 2020-09-07T21:15:39.293485; income categories = {Salary,Gifts}
21:15:39.410 INFO  - User Ann White added operation: Income{id = 2; account id = 4; amount = 600; creation time = 2020-09-07T21:15:39.400408; income categories = {Gifts}
21:15:39.431 INFO  - User Ann White added operation: Income{id = 3; account id = 4; amount = 1000; creation time = 2020-09-07T21:15:39.413452; income categories = {Salary,Gifts}
21:15:39.450 INFO  - User John Wick added operation: Income{id = 4; account id = 2; amount = 600; creation time = 2020-09-07T21:15:39.439736; income categories = {Gifts}
21:15:39.473 INFO  - User John Wick added operation: Income{id = 5; account id = 1; amount = 1000; creation time = 2020-09-07T21:15:39.455271; income categories = {Salary,Gifts}
21:15:39.497 INFO  - User John Wick added operation: Expense{id = 6; account id = 1; amount = -800; creation time = 2020-09-07T21:15:39.477556; expense categories = {Food,Transport}
21:15:39.510 INFO  - User John Wick added operation: Income{id = 7; account id = 1; amount = 600; creation time = 2020-09-07T21:15:39.501109; income categories = {Gifts}
21:15:39.524 INFO  - User John Wick added operation: Expense{id = 8; account id = 1; amount = -200; creation time = 2020-09-07T21:15:39.51398; expense categories = {Transport}
21:15:48.981 INFO  - User John Wick added operation: Income{id = 1; account id = 2; amount = 1000; creation time = 2020-09-07T21:15:48.886062; income categories = {Salary,Gifts}
21:15:48.998 INFO  - User Ann White added operation: Income{id = 2; account id = 4; amount = 600; creation time = 2020-09-07T21:15:48.989018; income categories = {Gifts}
21:15:49.016 INFO  - User Ann White added operation: Income{id = 3; account id = 4; amount = 1000; creation time = 2020-09-07T21:15:49.002095; income categories = {Salary,Gifts}
21:15:49.032 INFO  - User John Wick added operation: Income{id = 4; account id = 2; amount = 600; creation time = 2020-09-07T21:15:49.023169; income categories = {Gifts}
21:15:49.052 INFO  - User John Wick added operation: Income{id = 5; account id = 1; amount = 1000; creation time = 2020-09-07T21:15:49.036817; income categories = {Salary,Gifts}
21:15:49.073 INFO  - User John Wick added operation: Expense{id = 6; account id = 1; amount = -800; creation time = 2020-09-07T21:15:49.055829; expense categories = {Food,Transport}
21:15:49.086 INFO  - User John Wick added operation: Income{id = 7; account id = 1; amount = 600; creation time = 2020-09-07T21:15:49.077208; income categories = {Gifts}
21:15:49.098 INFO  - User John Wick added operation: Expense{id = 8; account id = 1; amount = -200; creation time = 2020-09-07T21:15:49.08961; expense categories = {Transport}
21:15:53.120 INFO  - User John Wick added operation: Income{id = 9; account id = 1; amount = 1000; creation time = 2020-09-07T21:15:53.105244; income categories = {Salary,Gifts}
21:15:53.134 INFO  - User John Wick added operation: Expense{id = 10; account id = 1; amount = -800; creation time = 2020-09-07T21:15:53.123103; expense categories = {Food,Transport}
21:15:53.142 INFO  - User John Wick added operation: Income{id = 11; account id = 1; amount = 600; creation time = 2020-09-07T21:15:53.1364; income categories = {Gifts}
21:15:53.152 INFO  - User John Wick added operation: Expense{id = 12; account id = 1; amount = -200; creation time = 2020-09-07T21:15:53.145205; expense categories = {Transport}
21:15:53.162 INFO  - User John Wick added operation: Expense{id = 13; account id = 2; amount = -200; creation time = 2020-09-07T21:15:53.155611; expense categories = {Food}
21:15:53.172 INFO  - User Ann White added operation: Expense{id = 14; account id = 4; amount = -350; creation time = 2020-09-07T21:15:53.16588; expense categories = {Transport}
21:15:53.183 INFO  - User Ann White added operation: Expense{id = 15; account id = 4; amount = -100; creation time = 2020-09-07T21:15:53.175004; expense categories = {Food}
21:15:53.193 INFO  - User Ann White added operation: Income{id = 16; account id = 3; amount = 200; creation time = 2020-09-07T21:15:53.185859; income categories = {Salary}
21:15:53.204 INFO  - User John Wick added operation: Income{id = 17; account id = 2; amount = 900; creation time = 2020-09-07T21:15:53.196089; income categories = {Gifts}
21:15:53.219 INFO  - User John Wick added operation: Income{id = 18; account id = 1; amount = 500; creation time = 2020-09-07T21:15:53.210858; income categories = {Salary}
